movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Genre
0012349,The Kid,1921,Passed,68,,Comedy
0012349,The Kid,1921,Passed,68,,Drama
0012349,The Kid,1921,Passed,68,,Family
0015324,Sherlock Jr.,1924,Passed,45,977375,Action
0015324,Sherlock Jr.,1924,Passed,45,977375,Comedy
0015324,Sherlock Jr.,1924,Passed,45,977375,Romance
0015864,The Gold Rush,1925,Passed,95,,Adventure
0015864,The Gold Rush,1925,Passed,95,,Comedy
0015864,The Gold Rush,1925,Passed,95,,Drama
0017136,Metropolis,1927,Unrated,153,1236166,Drama
0017136,Metropolis,1927,Unrated,153,1236166,Sci-Fi
0017925,The General,1926,Passed,67,,Action
0017925,The General,1926,Passed,67,,Adventure
0017925,The General,1926,Passed,67,,Comedy
0019254,The Passion of Joan of Arc,1928,Passed,114,21877,Biography
0019254,The Passion of Joan of Arc,1928,Passed,114,21877,Drama
0019254,The Passion of Joan of Arc,1928,Passed,114,21877,History
0021749,City Lights,1931,G,87,19181,Comedy
0021749,City Lights,1931,G,87,19181,Drama
0021749,City Lights,1931,G,87,19181,Romance
0022100,M,1931,Passed,99,35566,Crime
0022100,M,1931,Passed,99,35566,Mystery
0022100,M,1931,Passed,99,35566,Thriller
0025316,It Happened One Night,1934,Passed,105,,Comedy
0025316,It Happened One Night,1934,Passed,105,,Romance
0027977,Modern Times,1936,G,87,163577,Comedy
0027977,Modern Times,1936,G,87,163577,Drama
0027977,Modern Times,1936,G,87,163577,Romance
0031381,Gone with the Wind,1939,Passed,238,200882193,Drama
0031381,Gone with the Wind,1939,Passed,238,200882193,Romance
0031381,Gone with the Wind,1939,Passed,238,200882193,War
0031679,Mr. Smith Goes to Washington,1939,Passed,129,144738,Comedy
0031679,Mr. Smith Goes to Washington,1939,Passed,129,144738,Drama
0032138,The Wizard of Oz,1939,G,102,24668669,Adventure
0032138,The Wizard of Oz,1939,G,102,24668669,Family
0032138,The Wizard of Oz,1939,G,102,24668669,Fantasy
0032551,The Grapes of Wrath,1940,Passed,129,,Drama
0032553,The Great Dictator,1940,G,125,,Comedy
0032553,The Great Dictator,1940,G,125,,Drama
0032553,The Great Dictator,1940,G,125,,War
0032976,Rebecca,1940,Approved,130,,Drama
0032976,Rebecca,1940,Approved,130,,Film-Noir
0032976,Rebecca,1940,Approved,130,,Mystery
0033467,Citizen Kane,1941,PG,119,1627530,Drama
0033467,Citizen Kane,1941,PG,119,1627530,Mystery
0034583,Casablanca,1942,PG,102,4219709,Drama
0034583,Casablanca,1942,PG,102,4219709,Romance
0034583,Casablanca,1942,PG,102,4219709,War
0035446,To Be or Not to Be,1942,Passed,99,3270000,Comedy
0035446,To Be or Not to Be,1942,Passed,99,3270000,Romance
0035446,To Be or Not to Be,1942,Passed,99,3270000,War
0036775,Double Indemnity,1944,Passed,107,,Crime
0036775,Double Indemnity,1944,Passed,107,,Drama
0036775,Double Indemnity,1944,Passed,107,,Film-Noir
0036868,The Best Years of Our Lives,1946,Approved,170,23650000,Drama
0036868,The Best Years of Our Lives,1946,Approved,170,23650000,Romance
0036868,The Best Years of Our Lives,1946,Approved,170,23650000,War
0038650,It's a Wonderful Life,1946,PG,130,1483643,Drama
0038650,It's a Wonderful Life,1946,PG,130,1483643,Family
0038650,It's a Wonderful Life,1946,PG,130,1483643,Fantasy
0040522,Bicycle Thieves,1948,Unrated,89,371111,Drama
0040897,The Treasure of the Sierra Madre,1948,Passed,126,5014000,Adventure
0040897,The Treasure of the Sierra Madre,1948,Passed,126,5014000,Drama
0040897,The Treasure of the Sierra Madre,1948,Passed,126,5014000,Western
0041959,The Third Man,1949,Approved,93,1067364,Film-Noir
0041959,The Third Man,1949,Approved,93,1067364,Mystery
0041959,The Third Man,1949,Approved,93,1067364,Thriller
0042192,All About Eve,1950,Passed,138,63463,Drama
0042876,Rashomon,1950,Unrated,88,46808,Crime
0042876,Rashomon,1950,Unrated,88,46808,Drama
0042876,Rashomon,1950,Unrated,88,46808,Mystery
0043014,Sunset Blvd.,1950,Passed,110,299645,Drama
0043014,Sunset Blvd.,1950,Passed,110,299645,Film-Noir
0044741,Ikiru,1952,Unrated,143,60239,Drama
0045152,Singin' in the Rain,1952,G,103,1884537,Comedy
0045152,Singin' in the Rain,1952,G,103,1884537,Musical
0045152,Singin' in the Rain,1952,G,103,1884537,Romance
0046268,The Wages of Fear,1953,Unrated,131,,Adventure
0046268,The Wages of Fear,1953,Unrated,131,,Drama
0046268,The Wages of Fear,1953,Unrated,131,,Thriller
0046438,Tokyo Story,1953,Unrated,136,,Drama
0046912,Dial M for Murder,1954,PG,105,24845,Crime
0046912,Dial M for Murder,1954,PG,105,24845,Thriller
0047296,On the Waterfront,1954,Approved,108,,Crime
0047296,On the Waterfront,1954,Approved,108,,Drama
0047296,On the Waterfront,1954,Approved,108,,Thriller
0047396,Rear Window,1954,PG,112,36764313,Mystery
0047396,Rear Window,1954,PG,112,36764313,Thriller
0047478,Seven Samurai,1954,Unrated,207,318649,Action
0047478,Seven Samurai,1954,Unrated,207,318649,Drama
0048473,Pather Panchali,1955,Unrated,125,134241,Drama
0050083,12 Angry Men,1957,Approved,96,,Crime
0050083,12 Angry Men,1957,Approved,96,,Drama
0050212,The Bridge on the River Kwai,1957,PG,161,27200000,Adventure
0050212,The Bridge on the River Kwai,1957,PG,161,27200000,Drama
0050212,The Bridge on the River Kwai,1957,PG,161,27200000,War
0050825,Paths of Glory,1957,Approved,88,,Drama
0050825,Paths of Glory,1957,Approved,88,,War
0050976,The Seventh Seal,1957,Unrated,96,,Drama
0050976,The Seventh Seal,1957,Unrated,96,,Fantasy
0050986,Wild Strawberries,1957,Unrated,91,,Drama
0050986,Wild Strawberries,1957,Unrated,91,,Romance
0051201,Witness for the Prosecution,1957,Approved,116,,Crime
0051201,Witness for the Prosecution,1957,Approved,116,,Drama
0051201,Witness for the Prosecution,1957,Approved,116,,Mystery
0052357,Vertigo,1958,PG,128,7705225,Mystery
0052357,Vertigo,1958,PG,128,7705225,Romance
0052357,Vertigo,1958,PG,128,7705225,Thriller
0052618,Ben-Hur,1959,G,212,74432704,Adventure
0052618,Ben-Hur,1959,G,212,74432704,Drama
0053125,North by Northwest,1959,Approved,136,66728,Action
0053125,North by Northwest,1959,Approved,136,66728,Adventure
0053125,North by Northwest,1959,Approved,136,66728,Mystery
0053198,The 400 Blows,1959,Unrated,99,509,Crime
0053198,The 400 Blows,1959,Unrated,99,509,Drama
0053291,Some Like It Hot,1959,Passed,121,,Comedy
0053291,Some Like It Hot,1959,Passed,121,,Music
0053291,Some Like It Hot,1959,Passed,121,,Romance
0053604,The Apartment,1960,Approved,125,18600000,Comedy
0053604,The Apartment,1960,Approved,125,18600000,Drama
0053604,The Apartment,1960,Approved,125,18600000,Romance
0054215,Psycho,1960,R,109,32000000,Horror
0054215,Psycho,1960,R,109,32000000,Mystery
0054215,Psycho,1960,R,109,32000000,Thriller
0055031,Judgment at Nuremberg,1961,Approved,179,,Drama
0055031,Judgment at Nuremberg,1961,Approved,179,,War
0055630,Yojimbo,1961,Unrated,110,46808,Action
0055630,Yojimbo,1961,Unrated,110,46808,Drama
0055630,Yojimbo,1961,Unrated,110,46808,Thriller
0056058,Harakiri,1962,Unrated,133,,Action
0056058,Harakiri,1962,Unrated,133,,Drama
0056058,Harakiri,1962,Unrated,133,,Mystery
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Adventure
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Biography
0056172,Lawrence of Arabia,1962,Approved,218,45306425,Drama
0056592,To Kill a Mockingbird,1962,Approved,129,592237,Crime
0056592,To Kill a Mockingbird,1962,Approved,129,592237,Drama
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,9440272,Comedy
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,9440272,War
0057115,The Great Escape,1963,Approved,172,,Adventure
0057115,The Great Escape,1963,Approved,172,,Drama
0057115,The Great Escape,1963,Approved,172,,History
0057565,High and Low,1963,Unrated,143,46808,Crime
0057565,High and Low,1963,Unrated,143,46808,Drama
0057565,High and Low,1963,Unrated,143,46808,Mystery
0058946,The Battle of Algiers,1966,Unrated,121,879794,Drama
0058946,The Battle of Algiers,1966,Unrated,121,879794,War
0059578,For a Few Dollars More,1965,R,132,15000000,Drama
0059578,For a Few Dollars More,1965,R,132,15000000,Western
0059742,The Sound of Music,1965,G,172,159287539,Biography
0059742,The Sound of Music,1965,G,172,159287539,Drama
0059742,The Sound of Music,1965,G,172,159287539,Family
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000,Adventure
0060196,"The Good, the Bad and the Ugly",1966,Approved,178,25100000,Western
0060827,Persona,1966,Unrated,83,,Drama
0060827,Persona,1966,Unrated,83,,Thriller
0061512,Cool Hand Luke,1967,GP,127,,Crime
0061512,Cool Hand Luke,1967,GP,127,,Drama
0062622,2001: A Space Odyssey,1968,G,149,60481243,Adventure
0062622,2001: A Space Odyssey,1968,G,149,60481243,Sci-Fi
0064116,Once Upon a Time in the West,1968,PG-13,165,5321508,Western
0066921,A Clockwork Orange,1971,X,136,26617553,Crime
0066921,A Clockwork Orange,1971,X,136,26617553,Sci-Fi
0068646,The Godfather,1972,R,175,136381073,Crime
0068646,The Godfather,1972,R,175,136381073,Drama
0070047,The Exorcist,1973,R,122,233005644,Horror
0070735,The Sting,1973,PG,129,156000000,Comedy
0070735,The Sting,1973,PG,129,156000000,Crime
0070735,The Sting,1973,PG,129,156000000,Drama
0071315,Chinatown,1974,R,130,29200000,Drama
0071315,Chinatown,1974,R,130,29200000,Mystery
0071315,Chinatown,1974,R,130,29200000,Thriller
0071562,The Godfather Part II,1974,R,202,47834595,Crime
0071562,The Godfather Part II,1974,R,202,47834595,Drama
0071853,Monty Python and the Holy Grail,1975,PG,91,1827696,Adventure
0071853,Monty Python and the Holy Grail,1975,PG,91,1827696,Comedy
0071853,Monty Python and the Holy Grail,1975,PG,91,1827696,Fantasy
0072684,Barry Lyndon,1975,PG,185,,Adventure
0072684,Barry Lyndon,1975,PG,185,,Drama
0072684,Barry Lyndon,1975,PG,185,,War
0073195,Jaws,1975,PG,124,265859065,Adventure
0073195,Jaws,1975,PG,124,265859065,Mystery
0073195,Jaws,1975,PG,124,265859065,Thriller
0073486,One Flew Over the Cuckoo's Nest,1975,R,133,108981275,Drama
0074958,Network,1976,R,121,23689877,Drama
0075148,Rocky,1976,PG,120,117235147,Drama
0075148,Rocky,1976,PG,120,117235147,Sport
0075314,Taxi Driver,1976,R,114,28262574,Crime
0075314,Taxi Driver,1976,R,114,28262574,Drama
0076759,Star Wars: Episode IV - A New Hope,1977,PG,121,460998507,Action
0076759,Star Wars: Episode IV - A New Hope,1977,PG,121,460998507,Adventure
0076759,Star Wars: Episode IV - A New Hope,1977,PG,121,460998507,Fantasy
0077416,The Deer Hunter,1978,R,183,48979328,Drama
0077416,The Deer Hunter,1978,R,183,48979328,War
0078748,Alien,1979,R,117,81900459,Horror
0078748,Alien,1979,R,117,81900459,Sci-Fi
0078788,Apocalypse Now,1979,R,147,96042913,Drama
0078788,Apocalypse Now,1979,R,147,96042913,Mystery
0078788,Apocalypse Now,1979,R,147,96042913,War
0079470,Life of Brian,1979,R,94,20206622,Comedy
0080678,The Elephant Man,1980,PG,124,26010864,Biography
0080678,The Elephant Man,1980,PG,124,26010864,Drama
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Action
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Adventure
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,292753960,Fantasy
0081398,Raging Bull,1980,R,129,23383987,Biography
0081398,Raging Bull,1980,R,129,23383987,Drama
0081398,Raging Bull,1980,R,129,23383987,Sport
0081505,The Shining,1980,R,146,45634352,Drama
0081505,The Shining,1980,R,146,45634352,Horror
0082096,Das Boot,1981,Unrated,149,11487676,Drama
0082096,Das Boot,1981,Unrated,149,11487676,War
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,248159971,Action
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,PG,115,248159971,Adventure
0083658,Blade Runner,1982,R,117,32914489,Action
0083658,Blade Runner,1982,R,117,32914489,Drama
0083658,Blade Runner,1982,R,117,32914489,Sci-Fi
0084787,The Thing,1982,R,109,19629760,Horror
0084787,The Thing,1982,R,109,19629760,Mystery
0084787,The Thing,1982,R,109,19629760,Sci-Fi
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Action
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Adventure
0086190,Star Wars: Episode VI - Return of the Jedi,1983,PG,131,316566101,Fantasy
0086250,Scarface,1983,R,170,45408703,Crime
0086250,Scarface,1983,R,170,45408703,Drama
0086879,Amadeus,1984,PG,160,51973029,Biography
0086879,Amadeus,1984,PG,160,51973029,Drama
0086879,Amadeus,1984,PG,160,51973029,Music
0087843,Once Upon a Time in America,1984,R,229,5321508,Crime
0087843,Once Upon a Time in America,1984,R,229,5321508,Drama
0088247,The Terminator,1984,R,107,38371200,Action
0088247,The Terminator,1984,R,107,38371200,Sci-Fi
0088763,Back to the Future,1985,PG,116,212836762,Adventure
0088763,Back to the Future,1985,PG,116,212836762,Comedy
0088763,Back to the Future,1985,PG,116,212836762,Sci-Fi
0089881,Ran,1985,R,162,4135750,Action
0089881,Ran,1985,R,162,4135750,Drama
0089881,Ran,1985,R,162,4135750,War
0090605,Aliens,1986,R,137,85160248,Action
0090605,Aliens,1986,R,137,85160248,Adventure
0090605,Aliens,1986,R,137,85160248,Sci-Fi
0091251,Come and See,1985,Unrated,142,71909,Drama
0091251,Come and See,1985,Unrated,142,71909,Thriller
0091251,Come and See,1985,Unrated,142,71909,War
0091763,Platoon,1986,R,120,138530565,Drama
0091763,Platoon,1986,R,120,138530565,War
0092005,Stand by Me,1986,R,89,52287414,Adventure
0092005,Stand by Me,1986,R,89,52287414,Drama
0093058,Full Metal Jacket,1987,R,116,46357676,Drama
0093058,Full Metal Jacket,1987,R,116,46357676,War
0095016,Die Hard,1988,R,132,83844093,Action
0095016,Die Hard,1988,R,132,83844093,Thriller
0095327,Grave of the Fireflies,1988,Unrated,89,516962,Animation
0095327,Grave of the Fireflies,1988,Unrated,89,516962,Drama
0095327,Grave of the Fireflies,1988,Unrated,89,516962,War
0095765,Cinema Paradiso,1988,PG,155,12397210,Drama
0095765,Cinema Paradiso,1988,PG,155,12397210,Romance
0096283,My Neighbor Totoro,1988,G,86,2250213,Animation
0096283,My Neighbor Totoro,1988,G,86,2250213,Comedy
0096283,My Neighbor Totoro,1988,G,86,2250213,Family
0097165,Dead Poets Society,1989,PG,128,95860116,Comedy
0097165,Dead Poets Society,1989,PG,128,95860116,Drama
0097576,Indiana Jones and the Last Crusade,1989,PG-13,127,197171806,Action
0097576,Indiana Jones and the Last Crusade,1989,PG-13,127,197171806,Adventure
0099348,Dances with Wolves,1990,PG-13,181,184208848,Adventure
0099348,Dances with Wolves,1990,PG-13,181,184208848,Drama
0099348,Dances with Wolves,1990,PG-13,181,184208848,Western
0099685,Goodfellas,1990,R,145,46909721,Biography
0099685,Goodfellas,1990,R,145,46909721,Crime
0099685,Goodfellas,1990,R,145,46909721,Drama
0102926,The Silence of the Lambs,1991,R,118,130742922,Crime
0102926,The Silence of the Lambs,1991,R,118,130742922,Drama
0102926,The Silence of the Lambs,1991,R,118,130742922,Thriller
0103064,Terminator 2: Judgment Day,1991,R,137,205881154,Action
0103064,Terminator 2: Judgment Day,1991,R,137,205881154,Sci-Fi
0103639,Aladdin,1992,G,90,217350219,Animation
0103639,Aladdin,1992,G,90,217350219,Adventure
0103639,Aladdin,1992,G,90,217350219,Comedy
0105236,Reservoir Dogs,1992,R,99,2832029,Crime
0105236,Reservoir Dogs,1992,R,99,2832029,Thriller
0105695,Unforgiven,1992,R,130,101167799,Drama
0105695,Unforgiven,1992,R,130,101167799,Western
0107048,Groundhog Day,1993,PG,101,71107962,Comedy
0107048,Groundhog Day,1993,PG,101,71107962,Drama
0107048,Groundhog Day,1993,PG,101,71107962,Fantasy
0107207,In the Name of the Father,1993,R,133,25096862,Biography
0107207,In the Name of the Father,1993,R,133,25096862,Crime
0107207,In the Name of the Father,1993,R,133,25096862,Drama
0107290,Jurassic Park,1993,PG-13,127,404214720,Action
0107290,Jurassic Park,1993,PG-13,127,404214720,Adventure
0107290,Jurassic Park,1993,PG-13,127,404214720,Sci-Fi
0108052,Schindler's List,1993,R,195,96898818,Biography
0108052,Schindler's List,1993,R,195,96898818,Drama
0108052,Schindler's List,1993,R,195,96898818,History
0109830,Forrest Gump,1994,PG-13,142,330455270,Drama
0109830,Forrest Gump,1994,PG-13,142,330455270,Romance
0110357,The Lion King,1994,G,88,422783777,Animation
0110357,The Lion King,1994,G,88,422783777,Adventure
0110357,The Lion King,1994,G,88,422783777,Drama
0110413,Léon: The Professional,1994,R,110,19501238,Action
0110413,Léon: The Professional,1994,R,110,19501238,Crime
0110413,Léon: The Professional,1994,R,110,19501238,Drama
0110912,Pulp Fiction,1994,R,154,107928762,Crime
0110912,Pulp Fiction,1994,R,154,107928762,Drama
0111161,The Shawshank Redemption,1994,R,142,28767189,Drama
0112471,Before Sunrise,1995,R,101,5535405,Drama
0112471,Before Sunrise,1995,R,101,5535405,Romance
0112573,Braveheart,1995,R,178,75609945,Biography
0112573,Braveheart,1995,R,178,75609945,Drama
0112573,Braveheart,1995,R,178,75609945,History
0112641,Casino,1995,R,178,42512375,Crime
0112641,Casino,1995,R,178,42512375,Drama
0113247,La haine,1995,Unrated,98,280859,Crime
0113247,La haine,1995,Unrated,98,280859,Drama
0113277,Heat,1995,R,170,67436818,Action
0113277,Heat,1995,R,170,67436818,Crime
